strike_time,amount,price
2017-08-14T09:08:10Z,0.02,27900.0
2017-08-14T09:07:53Z,0.2027,27850.0
2017-08-14T09:07:50Z,0.0191,27999.99
2017-08-14T09:07:50Z,0.0359,27999.99
2017-08-14T09:06:59Z,0.353,27850.0
2017-08-14T09:06:02Z,0.0459,27840.04
2017-08-14T09:05:57Z,0.0446,27892.64
2017-08-14T09:05:44Z,0.0001,27892.64
2017-08-14T09:05:34Z,0.0346,27940.01
2017-08-14T09:05:27Z,1.0033,27840.0
2017-08-14T09:05:27Z,0.0197,27840.03
2017-08-14T09:05:26Z,0.4083,27840.03
2017-08-14T09:05:26Z,0.0001,27840.01
2017-08-14T09:05:26Z,0.0001,27840.01
2017-08-14T09:05:26Z,0.0709,27840.01
2017-08-14T09:05:25Z,0.0099,27840.01
2017-08-14T09:05:21Z,0.0099,27840.01
2017-08-14T09:05:15Z,0.0099,27840.01
2017-08-14T09:05:11Z,0.0099,27840.01
2017-08-14T09:05:08Z,0.0716,27840.01
2017-08-14T09:05:08Z,0.0223,27840.01
2017-08-14T09:05:07Z,0.726,27840.0
2017-08-14T09:05:07Z,0.0359,27840.01
2017-08-14T09:05:07Z,0.0099,27860.0
2017-08-14T09:05:07Z,0.7258,27860.0
2017-08-14T09:05:06Z,0.0001,27860.0
2017-08-14T09:05:05Z,0.2501,27860.0
2017-08-14T09:05:03Z,0.0099,27860.0
2017-08-14T09:05:01Z,0.056,27900.01
2017-08-14T09:04:57Z,0.316,27900.0
2017-08-14T09:04:55Z,0.842,27900.0
2017-08-14T09:04:52Z,0.842,27900.0
2017-08-14T09:04:50Z,0.2998,27840.0
2017-08-14T09:04:49Z,0.0002,27899.99
2017-08-14T09:04:49Z,0.3597,27899.99
2017-08-14T09:04:49Z,0.0003,27900.0
2017-08-14T09:04:47Z,0.9757,27900.0
2017-08-14T09:04:47Z,0.0003,27900.11
strike_time,amount,price
2017-08-14T09:14:29Z,0.0162,27899.01
2017-08-14T09:14:07Z,0.095,27899.01
2017-08-14T09:14:03Z,0.023,27899.01
2017-08-14T09:14:03Z,0.001,27950.0
2017-08-14T09:13:59Z,0.277,27899.01
2017-08-14T09:13:59Z,0.011,27899.12
2017-08-14T09:13:54Z,3.0,27899.0
2017-08-14T09:13:51Z,0.094,27899.0
2017-08-14T09:13:46Z,0.094,27899.0
2017-08-14T09:13:43Z,0.1927,27899.0
2017-08-14T09:13:43Z,0.0003,27899.01
2017-08-14T09:13:40Z,0.022,27899.01
2017-08-14T09:13:35Z,0.116,27890.0
